Tid (t) [s],Temperatur målt (T_målt) [°C]
0.0,37.21354293823242
2.0,37.055660247802734
4.0,36.972984313964844
6.0,36.8261604309082
8.0,36.65054702758789
10.0,36.49045181274414
12.0,36.339717864990234
14.0,36.19526672363281
16.0,36.051002502441406
18.0,35.8872184753418
20.0,35.73879623413086
22.0,35.6026611328125
24.0,35.441009521484375
26.0,35.290130615234375
28.0,35.13492202758789
30.0,34.99193572998047
32.0,34.84310531616211
34.0,34.66743850708008
36.0,34.52497482299805
38.0,34.370689392089844
40.0,34.221065521240234
42.0,34.09849548339844
44.0,33.952152252197266
46.0,33.7612419128418
48.0,33.473854064941406
50.0,33.22414779663086
52.0,33.02674865722656
54.0,32.83848571777344
56.0,32.67264175415039
58.0,32.53801345825195
60.0,32.402015686035156
62.0,32.27350997924805
64.0,32.13624572753906
66.0,32.03889465332031
68.0,31.910648345947266
70.0,31.76923942565918
72.0,31.655893325805664
74.0,31.532320022583008
76.0,31.417640686035156
78.0,31.29421615600586
80.0,31.172330856323242
82.0,31.0651912689209
84.0,30.927309036254883
86.0,30.817358016967773
88.0,30.703067779541016
90.0,30.593225479125977
92.0,30.49514389038086
94.0,30.388324737548828
96.0,30.27277946472168
98.0,30.170440673828125
100.0,30.05061149597168
102.0,29.952743530273438
104.0,29.838850021362305
106.0,29.723546981811523
108.0,29.6126651763916
110.0,29.5018253326416
112.0,29.3968563079834
114.0,29.299209594726562
116.0,29.184112548828125
118.0,29.0836181640625
120.0,28.996253967285156
122.0,28.894359588623047
124.0,28.788127899169922
126.0,28.67610740661621
128.0,28.58011817932129
130.0,28.489965438842773
132.0,28.39692497253418
134.0,28.306814193725586
136.0,28.21381378173828
138.0,28.12664222717285
140.0,28.02351188659668
142.0,27.9479923248291
144.0,27.860868453979492
146.0,27.7694034576416
148.0,27.675052642822266
150.0,27.585067749023438
152.0,27.50090217590332
154.0,27.418197631835938
156.0,27.33695411682129
158.0,27.251367568969727
160.0,27.157089233398438
162.0,27.062820434570312
164.0,26.96566390991211
166.0,26.880115509033203
168.0,26.78587532043457
170.0,26.706140518188477
172.0,26.617712020874023
174.0,26.533639907836914
176.0,26.429279327392578
178.0,26.355361938476562
180.0,26.266952514648438
182.0,26.185794830322266
184.0,26.110435485839844
186.0,26.02203369140625
188.0,25.929288864135742
190.0,25.777128219604492
192.0,25.707569122314453
194.0,25.623517990112305
196.0,25.529321670532227
198.0,25.464107513427734
200.0,25.382949829101562
202.0,25.31048583984375
204.0,25.23512077331543
206.0,25.165550231933594
208.0,25.0872802734375
210.0,25.017702102661133
212.0,24.940874099731445
214.0,24.875638961791992
216.0,24.77850341796875
218.0,24.708908081054688
220.0,24.62335777282715
222.0,24.540699005126953
224.0,24.452232360839844
226.0,24.37535858154297
228.0,24.297027587890625
230.0,24.201276779174805
232.0,24.114219665527344
234.0,24.051820755004883
236.0,23.970548629760742
238.0,23.88055419921875
240.0,23.787643432617188
242.0,23.6961669921875
244.0,23.593055725097656
246.0,23.4812068939209
248.0,23.357704162597656
250.0,23.253063201904297
252.0,23.14112663269043
254.0,23.03934097290039
256.0,22.936071395874023
258.0,22.800762176513672
260.0,22.69597053527832
262.0,22.589691162109375
264.0,22.486289978027344
266.0,22.379941940307617
268.0,22.279388427734375
270.0,22.177345275878906
272.0,22.082557678222656
274.0,21.98044204711914
276.0,21.901643753051758
278.0,21.812602996826172
280.0,21.746896743774414
282.0,21.66802978515625
284.0,21.581832885742188
286.0,21.4926815032959
288.0,21.402036666870117
290.0,21.31720733642578
292.0,21.225032806396484
294.0,21.12696647644043
296.0,21.02885627746582
298.0,20.940959930419922
300.0,20.83397102355957
302.0,20.73719596862793
304.0,20.635974884033203
306.0,20.550851821899414
308.0,20.471567153930664
310.0,20.384904861450195
312.0,20.309961318969727
314.0,20.2320499420166
316.0,20.145280838012695
318.0,20.0599422454834
320.0,19.95836639404297
322.0,19.81989860534668
324.0,19.744726181030273
326.0,19.65477180480957
328.0,19.57952880859375
330.0,19.50425148010254
332.0,19.414169311523438
334.0,19.33290672302246
336.0,19.264909744262695
338.0,19.18653106689453
340.0,19.127351760864258
342.0,19.048904418945312
344.0,18.965974807739258
346.0,18.902265548706055
348.0,18.83556365966797
350.0,18.758451461791992
352.0,18.68575096130371
354.0,18.60262107849121
356.0,18.520931243896484
358.0,18.445138931274414
360.0,18.367820739746094
362.0,18.281530380249023
364.0,18.20709991455078
366.0,18.11326026916504
368.0,18.035757064819336
370.0,17.962684631347656
372.0,17.865692138671875
374.0,17.785057067871094
376.0,17.719318389892578
378.0,17.640090942382812
380.0,17.574277877807617
382.0,17.497953414916992
384.0,17.430570602416992
386.0,17.36315155029297
388.0,17.301692962646484
390.0,17.222200393676758
392.0,17.16517448425293
394.0,17.108121871948242
396.0,17.051042556762695
398.0,16.992433547973633
400.0,16.90972900390625
402.0,16.83148193359375
404.0,16.769750595092773
406.0,16.704973220825195
408.0,16.653728485107422
410.0,16.591901779174805
412.0,16.53306007385254
414.0,16.483247756958008
416.0,16.42888069152832
418.0,16.362396240234375
420.0,16.32158088684082
422.0,16.247467041015625
424.0,16.208120346069336
426.0,16.150590896606445
428.0,16.100605010986328
430.0,16.038469314575195
432.0,15.986913681030273
434.0,15.921676635742188
436.0,15.863991737365723
438.0,15.806275367736816
440.0,15.760686874389648
442.0,15.696829795837402
444.0,15.642064094543457
446.0,15.607059478759766
448.0,15.555292129516602
450.0,15.486735343933105
452.0,15.445578575134277
454.0,15.393728256225586
456.0,15.344903945922852
458.0,15.30063533782959
460.0,15.245655059814453
462.0,15.196757316589355
464.0,15.144777297973633
466.0,15.09429931640625
468.0,15.031548500061035
470.0,14.99173355102539
472.0,14.933513641357422
474.0,14.873724937438965
476.0,14.8491849899292
478.0,14.773993492126465
480.0,14.70642375946045
482.0,14.649565696716309
484.0,14.586520195007324
486.0,14.537284851074219
488.0,14.488022804260254
490.0,14.431031227111816
492.0,14.384796142578125
494.0,14.33545207977295
496.0,14.286081314086914
498.0,14.230507850646973
500.0,14.173354148864746
502.0,14.137807846069336
504.0,14.091422080993652
506.0,14.032631874084473
508.0,14.004770278930664
510.0,13.97380256652832
512.0,13.899435043334961
514.0,13.846720695495605
516.0,13.7924222946167
518.0,13.727218627929688
520.0,13.67129135131836
522.0,13.604440689086914
524.0,13.567106246948242
526.0,13.495502471923828
528.0,13.495502471923828
530.0,13.465909957885742
532.0,13.42383861541748
534.0,13.366150856018066
536.0,13.34587287902832
538.0,13.274080276489258
540.0,13.23659896850586
542.0,13.192849159240723
544.0,13.164711952209473
546.0,13.12092399597168
548.0,13.0786771774292
550.0,13.027012825012207
552.0,12.98001766204834
554.0,12.918882369995117
556.0,12.892218589782715
558.0,12.843574523925781
560.0,12.790189743041992
562.0,12.738340377807617
564.0,12.686456680297852
566.0,12.636114120483398
568.0,12.603058815002441
570.0,12.55108642578125
572.0,12.522723197937012
574.0,12.49119758605957
576.0,12.443883895874023
578.0,12.412325859069824
580.0,12.363384246826172
582.0,12.323893547058105
584.0,12.279640197753906
586.0,12.254340171813965
588.0,12.203717231750488
590.0,12.18789005279541
592.0,12.134054183959961
594.0,12.110291481018066
596.0,12.072254180908203
598.0,12.046886444091797
600.0,11.997711181640625
602.0,11.96279239654541
604.0,11.916739463806152
606.0,11.90085220336914
608.0,11.856350898742676
610.0,11.821366310119629
612.0,11.795912742614746
614.0,11.744979858398438
616.0,11.716314315795898
618.0,11.673295021057129
620.0,11.650979042053223
622.0,11.62227725982666
624.0,11.568032264709473
626.0,11.548876762390137
628.0,11.532910346984863
630.0,11.486587524414062
632.0,11.449828147888184
634.0,11.417847633361816
636.0,11.397052764892578
638.0,11.349042892456055
640.0,11.318618774414062
642.0,11.30260181427002
644.0,11.265748023986816
646.0,11.225667953491211
648.0,11.193587303161621
650.0,11.159887313842773
652.0,11.13259506225586
654.0,11.090832710266113
